id,created_at,value
0FVE7F3RNYWHNF2W1586Z10DGG,2025-04-02T04:10:47Z,32.3
0FVE7F0NP3742KZRGFXKYGW5RA,2025-04-02T04:10:36Z,32.3
0FVE7EXJT4DF6SMCJW3T9RMCBJ,2025-04-02T04:10:26Z,32.3
0FVE7ETFP1K6SDNB8JXJFHMY35,2025-04-02T04:10:16Z,32.3
0FVE7EQCQ120GZMA21X8FB8YFN,2025-04-02T04:10:06Z,32.3
0FVE7EM9R6PD9G8TKXRSNCN8PG,2025-04-02T04:09:56Z,32.3
0FVE7EH5Q4FSQF5DAD1DT4MQVQ,2025-04-02T04:09:46Z,32.2
0FVE7EE3ZBJ1K7B3V66JTQPVG3,2025-04-02T04:09:36Z,32.2
0FVE7EB0Y9F3DBH1DXF37YZAMH,2025-04-02T04:09:26Z,32.2
0FVE7E7XNWTN52X37JMWCB3REW,2025-04-02T04:09:15Z,32.2
0FVE7E4VT4H7HS4FYCRSVZF6M6,2025-04-02T04:09:05Z,32.2
0FVE7E1QQDW66NC0BYB1YK7G96,2025-04-02T04:08:55Z,32.2
0FVE7DYNW2GR2P7KF57E25TDF8,2025-04-02T04:08:45Z,32.2
0FVE7DVJR6WD5XX9WJJB7A48KT,2025-04-02T04:08:35Z,32.2
0FVE7DRFT6NT2KJMSQPVHG353S,2025-04-02T04:08:25Z,32.2
0FVE7DNCQZF7A5Y25131HJDAE4,2025-04-02T04:08:15Z,32.2
0FVE7DJ9R273N9RFSHNVR78SMS,2025-04-02T04:08:05Z,32.2
0FVE7DF6R3D3KZDVWVD253F6FX,2025-04-02T04:07:54Z,32.2
0FVE7DC3PDNZQRZDYG8092Z3SN,2025-04-02T04:07:44Z,32.2
0FVE7D9116ENPPG677E3TQMNRP,2025-04-02T04:07:34Z,32.2
0FVE7D5XW735FGKXG8C87PRN2F,2025-04-02T04:07:24Z,32.3
0FVE7D2TTEHMNE9S17V66RQ5NG,2025-04-02T04:07:14Z,32.3
0FVE7CZRPZ1QFH95A2W6QT3GTH,2025-04-02T04:07:04Z,32.3
0FVE7CWMRHJNP1K063TZBRC0FV,2025-04-02T04:06:54Z,32.4
0FVE7CSHX90GXD1XZDNA3V6K76,2025-04-02T04:06:43Z,32.4
0FVE7CPER9PM173DZET72XGQDH,2025-04-02T04:06:33Z,32.4
0FVE7CKCQSR9C2N9KKV8N4FBS9,2025-04-02T04:06:23Z,32.4
0FVE7CG8TFXJ0H7SF71CNCN7W8,2025-04-02T04:06:13Z,32.4
0FVE7CD6Q8759KCNXQ959V78H2,2025-04-02T04:06:03Z,32.4
0FVE7CA3RPZEKGAGS65HHYDGAS,2025-04-02T04:05:53Z,32.4
0FVE7C71R7V29P6C7PRF4DW04K,2025-04-02T04:05:43Z,32.4
0FVE7C3XTYS061VM0Q6PGS6T3C,2025-04-02T04:05:33Z,32.4
0FVE7C0TQW6ZMKD8488H09D52B,2025-04-02T04:05:22Z,32.4
0FVE7BXQPDS1PQYJMC9W358E68,2025-04-02T04:05:12Z,32.4
0FVE7BTMPM8JWGFPK04C7YF1ZC,2025-04-02T04:05:02Z,32.4
0FVE7BQHPJ8BA6JXB94S1AYMQ3,2025-04-02T04:04:52Z,32.4
0FVE7BMEPTEA0TE58ACW5PB58X,2025-04-02T04:04:42Z,32.4
0FVE7BHBRXX8NJKHQHFJZ1HYFB,2025-04-02T04:04:32Z,32.4
0FVE7BE8TE0BQGVBR3MPX17FK9,2025-04-02T04:04:22Z,32.4
0FVE7BB5XESR376XQ4Z7YNSH81,2025-04-02T04:04:11Z,32.4
0FVE7B82PD1C3RSM9QEF2A1Q49,2025-04-02T04:04:01Z,32.4
0FVE7B50T48XG1KXTY78TK1BRK,2025-04-02T04:03:51Z,32.4
0FVE7B1XSH5CE8X7A211KKA991,2025-04-02T04:03:41Z,32.4
0FVE7AYSPZPR13WNK1E3GT4G6X,2025-04-02T04:03:31Z,32.4
0FVE7AVQPXADBM8PXK97N5NGZG,2025-04-02T04:03:21Z,32.4
0FVE7ARMWMSPE0EAGMJV2PSMCF,2025-04-02T04:03:11Z,32.4
0FVE7ANJXFMZRJ0CMJSDTH3BRK,2025-04-02T04:03:01Z,32.4
0FVE7AJEQJBPR9NRACK1TF6GA2,2025-04-02T04:02:50Z,32.4
0FVE7AFBTWRF97TR5NVSRSB5QZ,2025-04-02T04:02:40Z,32.3
0FVE7AC8NW60516BB64KXDCS52,2025-04-02T04:02:30Z,32.3
0FVE7A95S2RWZD72E0WK1H4M2J,2025-04-02T04:02:20Z,32.3
0FVE7A63MSDA57PJYQCHMYV0NP,2025-04-02T04:02:10Z,32.3
0FVE7A2ZTRCR5MM4EPYCA8ZTBF,2025-04-02T04:02:00Z,32.3
0FVE79ZXRXK1SKMJXTNYB5PC6W,2025-04-02T04:01:50Z,32.3
0FVE79WSSB7Q1K9A1GDYKT7NM2,2025-04-02T04:01:40Z,32.3
0FVE79SPSTMVSZRDVGTE5BTXPE,2025-04-02T04:01:29Z,32.2
0FVE79PKQMNQM8HFJNSV3TPKN8,2025-04-02T04:01:19Z,32.2
0FVE79KGTPQTTJ39FYHYJ0ENT0,2025-04-02T04:01:09Z,32.2
0FVE79GDXR5J7GS1XTGB8Z9Q0D,2025-04-02T04:00:59Z,32.2
0FVE79DBPMCEWP48T6MJHBESVS,2025-04-02T04:00:49Z,32.2
0FVE79A7PAC7NA6K69ATV5WT4E,2025-04-02T04:00:39Z,32.1
0FVE7975PH4R0ASWP0Z17N1HTE,2025-04-02T04:00:29Z,32.1
0FVE7942PND08VKW3KP20FJN6W,2025-04-02T04:00:19Z,32.1
0FVE790ZPTF7WZC0A87Y9S93R3,2025-04-02T04:00:08Z,32.1
