id,created_at,value
0FVE7F6VPH921CCK8NPDQRE3WN,2025-04-02T04:10:57Z,61.5
0FVE7F3RPQCYETZV35J674XA14,2025-04-02T04:10:47Z,62.3
0FVE7F0NPEV0H2YBSMBW5JC7N9,2025-04-02T04:10:36Z,61.7
0FVE7EXJS56CQEKEW1ENFHD5HA,2025-04-02T04:10:26Z,61.8
0FVE7ETFQDK7YA5CY2NN7EFYBW,2025-04-02T04:10:16Z,61.9
0FVE7EQEATVKG5Q171C4STAC45,2025-04-02T04:10:06Z,62.1
0FVE7EM9WCFE3ZCGVCVJKSBAH8,2025-04-02T04:09:56Z,62.2
0FVE7EH5RVVC7M9ZZ6DP2X9B6X,2025-04-02T04:09:46Z,62.1
0FVE7EE40PVN9RDTAPCKED8N78,2025-04-02T04:09:36Z,62.3
0FVE7EB0YGYVR2ARCA8E9EPXHV,2025-04-02T04:09:26Z,62.3
0FVE7E7XPQAVYP5YFDF4W9DZC6,2025-04-02T04:09:15Z,62.4
0FVE7E4VTWMBN8QERECPFTM3SF,2025-04-02T04:09:05Z,62.5
0FVE7E1QQPHEVD5WGVB2QXERR1,2025-04-02T04:08:55Z,62.6
0FVE7DYNWJYRZB9WH1S7TNCBF5,2025-04-02T04:08:45Z,63.0
0FVE7DVJR46A0J6E5N3ZSNA235,2025-04-02T04:08:35Z,62.9
0FVE7DRFT7MDGFJY55MJETJSGA,2025-04-02T04:08:25Z,63.0
0FVE7DNCT33Y32QZ4H0P0JBVDD,2025-04-02T04:08:15Z,63.3
0FVE7DJ9RBWDJMXHXQ283SN75V,2025-04-02T04:08:05Z,63.7
0FVE7DF6RPKB15PKG1BR3W8JDM,2025-04-02T04:07:54Z,63.9
0FVE7DC3Q01Q5D8A0XKCMXHT4X,2025-04-02T04:07:44Z,64.3
0FVE7D90PFEAJK3DA3731B8Q8A,2025-04-02T04:07:34Z,64.1
0FVE7D5XVCNW3CHTMP23847AHD,2025-04-02T04:07:24Z,64.2
0FVE7D2TVMBPJSKQ1YJ0FQP6RT,2025-04-02T04:07:14Z,63.9
0FVE7CZRQTVE4J96TMPJPTQW59,2025-04-02T04:07:04Z,64.4
0FVE7CWMSK78YZPCSBEKQ6HP4V,2025-04-02T04:06:54Z,64.3
0FVE7CSHY1H497WRPHNZV30CG7,2025-04-02T04:06:43Z,63.5
0FVE7CPETZ83Y217EES8NR2DPM,2025-04-02T04:06:33Z,63.5
0FVE7CKCRGED0XN2056PBWR2WX,2025-04-02T04:06:23Z,63.5
0FVE7CG8V7PDWR2SYAR86PGA14,2025-04-02T04:06:13Z,63.3
0FVE7CD6QYHVN6G79AFZBQ3YGT,2025-04-02T04:06:03Z,63.6
0FVE7CA3R7KK9HQ0AHS0P6HGTE,2025-04-02T04:05:53Z,63.5
0FVE7C71T0GKQSJ9WV2KK9391D,2025-04-02T04:05:43Z,63.2
0FVE7C3XTHWXND09CKTQ22NK8E,2025-04-02T04:05:33Z,63.2
0FVE7C0TRR9FF7JF2DGV75F4R1,2025-04-02T04:05:22Z,63.0
0FVE7BXQPJJPJXZ04NYY5ZQ6FT,2025-04-02T04:05:12Z,63.2
0FVE7BTMQMG004S8DY7PE3Y886,2025-04-02T04:05:02Z,63.5
0FVE7BQHPM6ER3CQGJAJK7PTYW,2025-04-02T04:04:52Z,63.8
0FVE7BMER2M1EN3C5V76F5FWDF,2025-04-02T04:04:42Z,63.5
0FVE7BHBS6872KA3PMS8784PG7,2025-04-02T04:04:32Z,63.4
0FVE7BE8VJJM3TVVQ7GTQ57QK3,2025-04-02T04:04:22Z,63.3
0FVE7BB5YEZA1ZNNW9KDCHEBKC,2025-04-02T04:04:12Z,63.2
0FVE7B82PT3SSV5Y0CJ4ZGB61D,2025-04-02T04:04:01Z,63.1
0FVE7B50TZJR2F5FNCD0Q69D5A,2025-04-02T04:03:51Z,63.1
0FVE7B1XT9EGZNPTP5MWACJ283,2025-04-02T04:03:41Z,63.6
0FVE7AYSQVH3T69SPADP5G8WM8,2025-04-02T04:03:31Z,63.3
0FVE7AVQQPA8S3CCFZ11MPV6AZ,2025-04-02T04:03:21Z,63.2
0FVE7ARMXCBR3G1KTXQERKVNAS,2025-04-02T04:03:11Z,63.2
0FVE7ANJYD7Y3VT4404KFHPJWQ,2025-04-02T04:03:01Z,63.2
0FVE7AJEQW3DS612GFZ95PVFSZ,2025-04-02T04:02:50Z,63.3
0FVE7AFBW0FF2SJ4V01B9JDSFQ,2025-04-02T04:02:40Z,63.3
0FVE7AC8PQYS3BDCCQ2WE8KWQ2,2025-04-02T04:02:30Z,63.4
0FVE7A95SC92H2P80ET0QYAP9A,2025-04-02T04:02:20Z,63.5
0FVE7A63QT1M58BNRQYJDTNAF8,2025-04-02T04:02:10Z,63.6
0FVE7A2ZWCX47N7JAVS4X9PBY2,2025-04-02T04:02:00Z,63.7
0FVE79ZXRH081CJR5SDSY5Z6AF,2025-04-02T04:01:50Z,63.8
0FVE79WSSQ4JK4MGKWQB0HMEMF,2025-04-02T04:01:40Z,63.8
0FVE79SPT78VH75DK2A2DS69RQ,2025-04-02T04:01:29Z,63.9
0FVE79PKS6VH4674SDE6PJYKD8,2025-04-02T04:01:19Z,64.1
0FVE79KGTZF2PVEP45W1AZQPVA,2025-04-02T04:01:09Z,64.3
0FVE79GDYGTA999G7Z93V8EBF7,2025-04-02T04:00:59Z,64.5
0FVE79DBPTP7VFQZF8ZX354MTG,2025-04-02T04:00:49Z,64.0
0FVE79A7ZK3MEFM3KM3HNG3DAW,2025-04-02T04:00:39Z,64.1
0FVE7975RFSXRQ1YYT6TN6FBTB,2025-04-02T04:00:29Z,64.3
0FVE7942Q59PANGNW7K0PVVW1C,2025-04-02T04:00:19Z,64.5
0FVE790ZRECY7GMDFXP7VRXC6F,2025-04-02T04:00:08Z,65.1
0FVE78XXQHHHFZCXT3S2EW851P,2025-04-02T03:59:58Z,65.1
0FVE78TSWBKKB80SNDQ01TQRAG,2025-04-02T03:59:48Z,64.7
0FVE78QPQD6K2B4R1SN3P5AFBD,2025-04-02T03:59:38Z,64.9
0FVE78MKRFRCK433XWHG7VSKB9,2025-04-02T03:59:28Z,64.6
0FVE78HFS09MHXZBR9MNBN78TN,2025-04-02T03:59:18Z,64.6
0FVE78EDVCD0XHTVJEEKT2E2DH,2025-04-02T03:59:08Z,64.6
0FVE78BA1K8GR3E30KEMWDMJ9J,2025-04-02T03:58:57Z,64.2
0FVE7887TMFBZDREM76Q5QFC0B,2025-04-02T03:58:47Z,63.8
0FVE7855RRFZNHYP8QYAW49QY2,2025-04-02T03:58:37Z,63.9
0FVE7821PV853SQJR6C17ZZ282,2025-04-02T03:58:27Z,63.5
0FVE77YYPG12KTFWYQJPFYH9QY,2025-04-02T03:58:17Z,63.4
0FVE77VWPG8BA89DZFAYZ9Q6Y7,2025-04-02T03:58:07Z,63.4
0FVE77RRS6CXFVNQQVYV5V8E66,2025-04-02T03:57:57Z,63.4
0FVE77NPPV8QZ1QPWHG66S8347,2025-04-02T03:57:47Z,63.4
0FVE77JKPTWDRS339S34Y0VGPB,2025-04-02T03:57:36Z,63.4
0FVE77FGRYMXPF18XD4RGMCTGW,2025-04-02T03:57:26Z,63.4
0FVE77CE1TYC8WK406P8PAK57W,2025-04-02T03:57:16Z,63.1
0FVE779B444T8803FR341B0Q4S,2025-04-02T03:57:06Z,63.7
0FVE7767X2GMC4CX8FSJ04WS96,2025-04-02T03:56:56Z,64.5
0FVE7734REMBNDWZP06PFXQ047,2025-04-02T03:56:46Z,63.3
0FVE7702PNR70JMXR0J0CXTJVK,2025-04-02T03:56:36Z,63.6
0FVE76WYT5FC2G632F20CNX1ES,2025-04-02T03:56:25Z,63.2
0FVE76SVRP2XZ21GKC95F24BA2,2025-04-02T03:56:15Z,63.5
0FVE76PRQ2615A1404N8CBQZPH,2025-04-02T03:56:05Z,63.5
0FVE76KPQNGQVQ3VNF8QFT78MN,2025-04-02T03:55:55Z,63.4
0FVE76GJR1SQC6P78APSTQ0639,2025-04-02T03:55:45Z,63.3
